[Epoch 095] train_loss=0.6445 acc=0.6945 f1=0.6804 | val_loss=0.6397 acc=0.7093 f1=0.6972 | epoch_time=0.13s
[Epoch 096] train_loss=0.6495 acc=0.6940 f1=0.6793 | val_loss=0.6386 acc=0.7133 f1=0.7008 | epoch_time=0.13s
[Epoch 097] train_loss=0.6458 acc=0.6905 f1=0.6761 | val_loss=0.6405 acc=0.7113 f1=0.6995 | epoch_time=0.13s
[Epoch 098] train_loss=0.6491 acc=0.6903 f1=0.6747 | val_loss=0.6400 acc=0.7083 f1=0.6958 | epoch_time=0.13s
[Epoch 099] train_loss=0.6521 acc=0.6883 f1=0.6735 | val_loss=0.6394 acc=0.7123 f1=0.6992 | epoch_time=0.13s
[Epoch 100] train_loss=0.6396 acc=0.6948 f1=0.6801 | val_loss=0.6401 acc=0.7133 f1=0.7012 | epoch_time=0.13s
[Epoch 101] train_loss=0.6384 acc=0.6935 f1=0.6775 | val_loss=0.6385 acc=0.7153 f1=0.7026 | epoch_time=0.13s
[Epoch 102] train_loss=0.6392 acc=0.6915 f1=0.6775 | val_loss=0.6387 acc=0.7143 f1=0.7015 | epoch_time=0.13s
[Epoch 103] train_loss=0.6552 acc=0.6836 f1=0.6674 | val_loss=0.6392 acc=0.7143 f1=0.7014 | epoch_time=0.13s
[Epoch 104] train_loss=0.6512 acc=0.6858 f1=0.6697 | val_loss=0.6394 acc=0.7133 f1=0.6998 | epoch_time=0.13s
[Epoch 105] train_loss=0.6500 acc=0.6898 f1=0.6747 | val_loss=0.6399 acc=0.7153 f1=0.7024 | epoch_time=0.13s
[Epoch 106] train_loss=0.6540 acc=0.6856 f1=0.6697 | val_loss=0.6398 acc=0.7123 f1=0.7000 | epoch_time=0.13s
[Epoch 107] train_loss=0.6504 acc=0.6938 f1=0.6787 | val_loss=0.6414 acc=0.7113 f1=0.6987 | epoch_time=0.13s
[Epoch 108] train_loss=0.6495 acc=0.6950 f1=0.6797 | val_loss=0.6394 acc=0.7113 f1=0.6990 | epoch_time=0.13s
[Epoch 109] train_loss=0.6419 acc=0.6948 f1=0.6798 | val_loss=0.6395 acc=0.7113 f1=0.6991 | epoch_time=0.13s
[Epoch 110] train_loss=0.6474 acc=0.6918 f1=0.6760 | val_loss=0.6404 acc=0.7133 f1=0.7005 | epoch_time=0.13s
[Epoch 111] train_loss=0.6518 acc=0.6873 f1=0.6716 | val_loss=0.6404 acc=0.7163 f1=0.7031 | epoch_time=0.13s
[Epoch 112] train_loss=0.6407 acc=0.6955 f1=0.6805 | val_loss=0.6391 acc=0.7143 f1=0.7012 | epoch_time=0.13s
[Epoch 113] train_loss=0.6440 acc=0.6960 f1=0.6799 | val_loss=0.6398 acc=0.7133 f1=0.7005 | epoch_time=0.13s
[Epoch 114] train_loss=0.6463 acc=0.6885 f1=0.6733 | val_loss=0.6393 acc=0.7153 f1=0.7021 | epoch_time=0.13s
[Epoch 115] train_loss=0.6391 acc=0.6925 f1=0.6765 | val_loss=0.6395 acc=0.7153 f1=0.7032 | epoch_time=0.13s
[Epoch 116] train_loss=0.6509 acc=0.6860 f1=0.6702 | val_loss=0.6383 acc=0.7153 f1=0.7038 | epoch_time=0.13s
[Epoch 117] train_loss=0.6492 acc=0.6878 f1=0.6720 | val_loss=0.6396 acc=0.7143 f1=0.7022 | epoch_time=0.13s
[Epoch 118] train_loss=0.6518 acc=0.6838 f1=0.6679 | val_loss=0.6417 acc=0.7143 f1=0.7019 | epoch_time=0.13s
[Epoch 119] train_loss=0.6498 acc=0.6878 f1=0.6728 | val_loss=0.6401 acc=0.7133 f1=0.7000 | epoch_time=0.13s
[Epoch 120] train_loss=0.6546 acc=0.6863 f1=0.6717 | val_loss=0.6391 acc=0.7133 f1=0.7013 | epoch_time=0.13s
[Epoch 121] train_loss=0.6496 acc=0.6833 f1=0.6690 | val_loss=0.6390 acc=0.7133 f1=0.7009 | epoch_time=0.13s
[Epoch 122] train_loss=0.6448 acc=0.6960 f1=0.6803 | val_loss=0.6407 acc=0.7133 f1=0.7007 | epoch_time=0.13s
[Epoch 123] train_loss=0.6454 acc=0.6978 f1=0.6815 | val_loss=0.6396 acc=0.7113 f1=0.6985 | epoch_time=0.13s
[Epoch 124] train_loss=0.6518 acc=0.6880 f1=0.6743 | val_loss=0.6401 acc=0.7113 f1=0.6983 | epoch_time=0.24s
[Epoch 125] train_loss=0.6543 acc=0.6826 f1=0.6676 | val_loss=0.6416 acc=0.7063 f1=0.6933 | epoch_time=0.13s
[Epoch 126] train_loss=0.6513 acc=0.6885 f1=0.6737 | val_loss=0.6400 acc=0.7153 f1=0.7029 | epoch_time=0.13s
[Epoch 127] train_loss=0.6455 acc=0.6905 f1=0.6748 | val_loss=0.6397 acc=0.7123 f1=0.7002 | epoch_time=0.13s
[Epoch 128] train_loss=0.6531 acc=0.6868 f1=0.6718 | val_loss=0.6405 acc=0.7153 f1=0.7032 | epoch_time=0.13s
[Epoch 129] train_loss=0.6460 acc=0.6858 f1=0.6701 | val_loss=0.6394 acc=0.7143 f1=0.7015 | epoch_time=0.13s
[Epoch 130] train_loss=0.6467 acc=0.6905 f1=0.6751 | val_loss=0.6400 acc=0.7153 f1=0.7024 | epoch_time=0.13s
[Epoch 131] train_loss=0.6416 acc=0.6935 f1=0.6782 | val_loss=0.6394 acc=0.7123 f1=0.6993 | epoch_time=0.13s
Early stopping at epoch 131 (best epoch=116)
Total training time: 17.72s
