ID,Phase,color_Ur,color_gr,color_gi,SFR_200Myr,AxisRatio,B_T,SurfaceBrightness,EffectiveRadius,AbsMag_U,AbsMag_B,AbsMag_V,AbsMag_g,AbsMag_r,AbsMag_i,StellarMass,StellarMetallicity,StellarVelDispersion
91_70281,0,1.7381,0.7815000000000001,1.1527,-9.000000000000002,0.903732479,0.074585716,-18.68272833,2.7621,-17.7154,-18.2016,-19.1036,-18.672,-19.4535,-19.8247,0.62375,0.0339475,82.23289999999997
91_70282,0,1.5536000000000003,0.7277,1.0738,-8.990609823000002,0.9531554579999999,0.287997276,-19.12126372,1.5741000000000003,-17.2373,-17.6167,-18.459,-18.0632,-18.7909,-19.137,0.275414,0.0265881,60.709299999999985
91_70283,0,1.8243,0.8071,1.1909,-9.000000000000002,0.4992257359999999,0.25623823200000007,-19.5528323,1.7279,-17.417,-17.9535,-18.8824,-18.4342,-19.2413,-19.6251,0.6689479999999999,0.0372045,88.66549999999998
91_70284,0,0.6482,0.4382,0.6794,-8.909371898,0.9915417429999999,0.215770156,-18.8643889,1.0408,-17.314,-17.2056,-17.7241,-17.524,-17.9622,-18.2034,0.06309799999999999,0.0181448,46.447199999999995
91_70285,0,-0.08420000000000005,0.07500000000000001,0.1355,-7.855742987,0.851607919,0.08632031300000001,-19.93778136,0.9514999999999999,-19.5523,-19.1868,-19.3699,-19.3931,-19.4681,-19.5286,0.019311000000000005,0.00803849,53.653100000000016
91_70286,0,1.3681,0.6692,0.9876,-8.987125771,0.9895185830000001,0.18266712900000004,-19.20874666,1.0994,-16.8698,-17.1479,-17.9256,-17.5687,-18.2379,-18.5563,0.080906,0.0223065,50.2847
91_70287,0,1.5287000000000002,0.7173,1.0536,-9.000000000000002,0.978838801,0.053654966,-19.03246738,1.9421000000000002,-17.6923,-18.0594,-18.8938,-18.5037,-19.221,-19.5573,0.255864,0.0262793,53.7154
91_70288,0,1.6614,0.7563,1.114,-9.000000000000002,0.83868587,0.12493073799999999,-19.04355656,2.16,-17.6773,-18.1215,-18.998,-18.5824,-19.3387,-19.6964,0.44184999999999997,0.0346158,63.17630000000001
91_70289,0,1.6057,0.7462,1.1012,-9.000000000000002,0.9973797800000002,0.362521352,-19.25808101,1.0751,-16.4843,-16.8897,-17.7515,-17.3438,-18.09,-18.445,0.16132899999999997,0.0241702,57.469200000000015
91_70290,0,0.36970000000000003,0.3053,0.4827,-8.803973809000002,0.9517588020000001,0.159371795,-19.53533239,0.8205,-17.949,-17.7396,-18.1297,-18.0134,-18.3187,-18.4961,0.028622999999999992,0.0148722,44.85040000000001
91_70291,0,1.5280999999999998,0.7168,1.053,-9.000000000000002,0.953335464,0.190043791,-19.34765173,1.4658,-17.3948,-17.7622,-18.5957,-18.2061,-18.9229,-19.2591,0.241245,0.0285797,51.804199999999994
91_70292,0,0.5706,0.4184,0.6608,-8.872392110999998,0.987692654,0.13373082,-18.91175988,1.0953,-17.5527,-17.3968,-17.8902,-17.7049,-18.1233,-18.3657,0.06053200000000001,0.0186217,50.4229
91_70293,0,1.5067,0.7152,1.0517,-9.000000000000002,0.991066158,0.074952677,-19.04787115,1.3993,-17.0642,-17.4138,-18.2436,-17.8557,-18.5709,-18.9074,0.129083,0.0212616,50.88869999999999
91_70294,0,1.8268,0.8068,1.1901,-9.000000000000002,0.729180932,0.156687226,-19.10868447,1.8459000000000003,-17.1031,-17.6425,-18.5714,-18.1231,-18.9299,-19.3132,0.459668,0.04329820000000001,71.86710000000002
91_70295,0,0.7278,0.3502,0.5291,-8.88382279,0.9739990230000001,0.10722468,-19.58963659,1.1653,-18.4172,-18.4901,-18.9474,-18.7948,-19.145,-19.3239,0.049972,0.0133939,54.51039999999999
91_70296,0,1.4849,0.7051000000000001,1.0351,-9.000000000000002,0.9570310120000001,0.43956769100000004,-19.03884538,1.1185,-16.5928,-16.9341,-17.7544,-17.3726,-18.0777,-18.4077,0.08727200000000002,0.0210404,51.14869999999999
91_70297,0,0.3224,0.3102,0.5104,-8.716869612,0.837933064,0.510722025,-20.52452261,0.6865,-18.4461,-18.1867,-18.5746,-18.4583,-18.7685,-18.9687,0.092234,0.0296752,45.4611
91_70298,0,1.4192,0.6749,0.9912,-8.99380151,0.9295118450000001,0.060121321000000005,-19.21338613,1.2941,-17.1773,-17.4955,-18.2836,-17.9216,-18.5965,-18.9128,0.09919199999999999,0.0203576,57.613600000000005
91_70299,0,1.1656,0.5479,0.7926,-9.000000000000002,0.963391006,0.09776239900000001,-19.00424588,1.5291,-17.7808,-18.0184,-18.68,-18.3985,-18.9464,-19.1911,0.068104,0.0177385,38.5184
91_70300,0,1.0257,0.5529,0.8237,-8.915470378,0.95821774,0.11837724699999998,-19.49769788,0.999,-17.4465,-17.5492,-18.1988,-17.9193,-18.4722,-18.743,0.050293000000000004,0.0175715,43.74260000000001
91_70301,0,1.4571,0.6964,1.0218,-9.000000000000002,0.989632189,0.09443464100000001,-19.03500454,1.0482,-16.5109,-16.8368,-17.6476,-17.2716,-17.968,-18.2934,0.058358,0.0173929,49.27040000000001
91_70303,0,1.4272,0.6835,0.9993,-9.000000000000002,0.9932042359999999,0.149176463,-18.88845804,1.2574,-16.7948,-17.1086,-17.9066,-17.5385,-18.222,-18.5378,0.09425899999999998,0.0191278,46.18900000000001
91_70304,0,1.3692,0.6665,0.9719,-9.000000000000002,0.992051423,0.078429104,-19.19042389,0.9723,-16.6758,-16.9563,-17.7356,-17.3785,-18.045,-18.3504,0.04710400000000001,0.0151693,37.4153
91_70305,0,1.3854,0.6722,0.9816,-9.000000000000002,0.9813371300000001,0.24484282899999998,-19.47339,0.6604,-16.0888,-16.3772,-17.1626,-16.802,-17.4742,-17.7836,0.02458600000000001,0.0155675,42.13110000000001
91_70306,0,0.4277,0.3832,0.6018,-8.933223952000002,0.8805260059999999,0.5945739139999999,-19.06539699,0.7388999999999999,-17.0828,-16.8337,-17.29,-17.1273,-17.5105,-17.7291,0.029208999999999985,0.0165602,40.369299999999996
91_70309,0,1.4984,0.7119,1.0467,-9.000000000000002,0.978497148,0.09787429499999999,-18.93493362,1.2006,-16.6257,-16.9716,-17.798,-17.4122,-18.1241,-18.4589,0.108173,0.0215521,48.065400000000004
91_70310,0,0.694,0.4464,0.6916,-8.937640018999998,0.987229466,0.591646514,-19.12521179,0.7932,-16.9389,-16.8639,-17.3924,-17.1865,-17.6329,-17.8781,0.043468000000000014,0.01747,44.01059999999998
91_70311,0,0.5047,0.3519,0.5525,-8.770237982000001,0.9473376270000001,0.074953081,-19.02654004,1.1631,-17.9958,-17.8578,-18.2945,-18.1486,-18.5005,-18.7011,0.04834799999999999,0.0138428,45.477500000000006
91_70312,0,0.5399,0.3749,0.5869,-8.816355937,0.9696191550000001,0.05930534499999998,-18.75545606,1.3165999999999998,-17.8828,-17.7493,-18.2081,-18.0478,-18.4227,-18.6347,0.07003099999999998,0.01908,44.456700000000005
91_70313,0,1.2881,0.6467,0.9516,-8.989205614,0.981548548,0.14849025800000004,-19.53770581,0.8189999999999998,-16.7018,-16.9322,-17.6856,-17.3432,-17.9899,-18.2948,0.05698099999999999,0.0192838,38.01279999999999
91_70314,0,1.0234,0.572,0.8601,-8.917961255000002,0.950342238,0.077519231,-18.90086204,1.4855,-17.5962,-17.6726,-18.3377,-18.0476,-18.6196,-18.9077,0.09537300000000001,0.0200838,50.7766
91_70315,0,1.7368,0.7829000000000002,1.154,-9.000000000000002,0.893100202,0.10088221600000001,-18.93617882,1.3937,-16.5047,-16.9879,-17.8908,-17.4586,-18.2415,-18.6126,0.173295,0.0320021,49.15219999999999
91_70316,0,1.7522,0.7872,1.1604,-9.000000000000002,0.794706047,0.20008398799999996,-19.04642453,1.3306999999999998,-16.4922,-16.9846,-17.8922,-17.4572,-18.2444,-18.6176,0.230009,0.031382,59.12599999999998
