ID,Phase,color_Ur,color_gr,color_gi,SFR_200Myr,AxisRatio,B_T,SurfaceBrightness,EffectiveRadius,AbsMag_U,AbsMag_B,AbsMag_V,AbsMag_g,AbsMag_r,AbsMag_i,StellarMass,StellarMetallicity,StellarVelDispersion
91_632975,0,0.3954,0.3043,0.4911,-8.113316536,0.973431945,0.116221494,-18.3443822,3.0746,-19.5212,-19.3377,-19.7276,-19.6123,-19.9166,-20.1034,0.292451,0.0189799,63.6428
91_633114,0,0.3889,0.29,0.4583,-8.838136191,0.974945307,0.129077685,-19.13946925,0.7819,-17.4844,-17.3121,-17.6915,-17.5833,-17.8733,-18.0416,0.023224,0.0139574,50.8342
91_633337,0,0.6872,0.4215,0.6506,-8.46886771,0.988568962,0.100953979,-18.85255588,2.6884,-19.3069,-19.2546,-19.7645,-19.5726,-19.9941,-20.2232,0.380908,0.0238398,61.2416
91_633497,0,0.446,0.3161,0.4939,-8.38720342,0.918405175,0.122862409,-19.24782653,1.8161,-19.2985,-19.1469,-19.5534,-19.4284,-19.7445,-19.9223,0.104796,0.0140147,58.3369
91_633877,0,0.8044,0.4322,0.6493,-8.917431665,0.913658261,0.123062293,-19.90273593,0.6254,-17.2204,-17.2651,-17.7948,-17.5926,-18.0248,-18.2419,0.018561,0.0116716,49.8674
91_633962,0,0.4293,0.3336,0.5382,-8.304873547,0.979927719,0.093746977,-19.20763444,1.9629,-19.2966,-19.1108,-19.525,-19.3923,-19.7259,-19.9305,0.307875,0.0252108,65.2483
91_634042,0,0.5303,0.3732,0.5815,-8.763301708,0.995726705,0.18070745,-18.82364328,1.4742,-18.2333,-18.0921,-18.5502,-18.3904,-18.7636,-18.9719,0.063141,0.0166644,52.378
91_634043,0,0.4033,0.2894,0.4529,-8.753625313,0.993868649,0.323815128,-19.50861765,0.9455,-18.2577,-18.0981,-18.4806,-18.3716,-18.661,-18.8245,0.028399,0.0120794,50.7438
91_634087,0,0.4457,0.307,0.4798,-8.040629411,0.976985455,0.112899063,-19.26818751,1.9964,-19.5359,-19.3953,-19.7944,-19.6746,-19.9816,-20.1544,0.125941,0.0179736,62.8553
91_634238,0,0.6033,0.3671,0.5647,-8.459872039,0.943054318,0.196684257,-18.32737598,3.0834,-19.2828,-19.2173,-19.6776,-19.519,-19.8861,-20.0837,0.212881,0.0187389,57.6599
91_634478,0,0.306,0.2804,0.4487,-8.0087151,0.940354049,0.104571995,-20.23168668,1.2586,-19.6561,-19.4165,-19.7819,-19.6817,-19.9621,-20.1304,0.102279,0.0144478,62.4481
91_634689,0,1.0396,0.5211,0.7915,-8.838862944,0.901310682,0.096378126,-19.23137755,1.9281,-18.4713,-18.6306,-19.2477,-18.9898,-19.5109,-19.7813,0.374427,0.0274932,62.7592
91_635213,0,0.9957,0.5429,0.8169,-8.803610815,0.960876822,0.083653992,-19.21206437,1.9235,-18.5085,-18.5964,-19.233,-18.9613,-19.5042,-19.7782,0.306085,0.0245442,64.791
91_635351,0,0.2605,0.2376,0.3826,-8.77866828,0.965771437,0.643598164,-18.97525008,1.0768,-18.1905,-17.9587,-18.2892,-18.2134,-18.451,-18.596,0.049778,0.0154967,48.368
91_635488,0,0.3604,0.3075,0.5025,-8.082367862,0.965714931,0.138168301,-19.22011913,1.8961,-19.3253,-19.106,-19.4936,-19.3782,-19.6857,-19.8807,0.292495,0.0243262,59.8446
91_635861,0,0.97,0.5101,0.7694,-8.828420483,0.982437551,0.16760863,-19.15496464,1.6578,-18.194,-18.2986,-18.9051,-18.6539,-19.164,-19.4233,0.205077,0.0232945,59.3266
91_635963,0,0.2788,0.243,0.3841,-8.37150286,0.931521714,0.03892873,-19.7341671,1.1852,-19.1824,-18.9607,-19.2979,-19.2182,-19.4612,-19.6023,0.040246,0.0109337,54.0957
91_636357,0,0.3335,0.2618,0.4184,-8.013995727,0.990373313,0.091969693,-19.04856505,2.1585,-19.6397,-19.4475,-19.8022,-19.7114,-19.9732,-20.1298,0.116853,0.0146879,59.8561
91_636690,0,0.2735,0.2519,0.4049,-7.830756725,0.925154924,0.090712717,-19.61354257,1.767,-19.8505,-19.6139,-19.9554,-19.8721,-20.124,-20.277,0.095477,0.0141867,60.086
91_636784,0,0.3149,0.2535,0.3932,-8.885351161,0.938877761,0.060185963,-19.37449766,0.6424,-17.526,-17.3257,-17.6753,-17.5874,-17.8409,-17.9806,0.010662,0.0088127,37.2597
91_637214,-1,0.3568,0.3016,0.4594,-8.997546697,,,-17.98750141,0.2144,-13.7083,-13.4883,-13.8808,-13.7635,-14.0651,-14.2229,0.000205,0.00489305,24.7616
91_637663,0,0.3753,0.2831,0.4492,-8.166613126,0.932294667,0.137952749,-19.73079699,1.4299,-19.3756,-19.1977,-19.5715,-19.4678,-19.7509,-19.917,0.074501,0.0138407,59.4422
91_638152,0,0.4837,0.3267,0.5104,-8.310216306,0.979540169,0.079791161,-19.28947164,1.8552,-19.3278,-19.1992,-19.6166,-19.4848,-19.8115,-19.9952,0.094171,0.0136697,56.5165
91_638395,0,0.3028,0.272,0.4436,-7.963547662,0.958029032,0.04996048,-18.68791401,2.6501,-19.6835,-19.451,-19.809,-19.7143,-19.9863,-20.1579,0.233277,0.0179302,61.1333
91_638565,0,0.423,0.3221,0.5148,-8.300325432,0.925715029,0.047404349,-18.52747614,2.6911,-19.3595,-19.18,-19.5871,-19.4604,-19.7825,-19.9752,0.286753,0.0221868,61.5781
91_638984,0,0.2011,0.2407,0.3962,-7.681637499,0.945646405,0.192356711,-18.72277257,2.8312,-20.0077,-19.7163,-20.043,-19.9681,-20.2088,-20.3643,0.291315,0.0196792,54.9423
91_639323,0,0.4286,0.3064,0.4915,-8.20835486,0.964481711,0.075010694,-18.47903815,2.6089,-19.2544,-19.0995,-19.4942,-19.3766,-19.683,-19.8681,0.258595,0.0215348,56.0324
91_639552,0,0.6307,0.4031,0.6236,-8.532143748,0.976617634,0.085792405,-18.94734351,2.1628,-19.0613,-18.9788,-19.4685,-19.2889,-19.692,-19.9125,0.207094,0.0157236,62.0178
91_639639,0,0.2627,0.2286,0.3665,-8.472225557,0.932651222,0.084402236,-19.05994961,1.3635,-18.8169,-18.5978,-18.9216,-18.851,-19.0796,-19.2175,0.054066,0.0131665,58.3373
91_639641,0,0.3297,0.2846,0.4536,-8.906704172,0.987551749,0.394259282,-18.97959368,0.7025,-17.1387,-16.9163,-17.2877,-17.1838,-17.4684,-17.6374,0.02035,0.0135141,46.244
91_639719,0,0.34,0.2658,0.4223,-8.218879636,0.942498207,0.080406794,-19.95409446,1.2568,-19.3876,-19.1968,-19.5552,-19.4618,-19.7276,-19.8841,0.065046,0.0133525,56.4908
91_639942,0,1.0239,0.5497,0.8197,-8.849865254,0.982746899,0.061339736,-19.1125636,1.9189,-18.4445,-18.5492,-19.1958,-18.9187,-19.4684,-19.7384,0.155386,0.0150123,60.7589
91_640502,0,0.5413,0.37,0.5798,-8.451761208,0.950795591,0.080113571,-18.45779409,3.0743,-19.4119,-19.2844,-19.7414,-19.5832,-19.9532,-20.163,0.275534,0.0199652,58.2477
91_640579,1,0.2928,0.2581,0.4097,-8.26505166,0.979012012,0.254711782,-19.0728557,1.8064,-19.3413,-19.1152,-19.4641,-19.376,-19.6341,-19.7857,0.135391,0.0173966,54.0878
91_640669,0,0.459,0.348,0.5544,-8.221601997,0.960951865,0.042218434,-18.36956894,3.1338,-19.4584,-19.2819,-19.7116,-19.5694,-19.9174,-20.1238,0.365684,0.0211724,63.76
91_640941,0,0.291,0.2681,0.4276,-8.034050564,0.892494678,0.057096921,-19.73377961,1.5683,-19.6794,-19.4394,-19.7959,-19.7023,-19.9704,-20.1299,0.078329,0.0127935,57.716
91_641161,0,0.6272,0.415,0.639,-8.594651503,0.978951037,0.109890728,-18.72092361,2.4217,-19.0497,-18.9484,-19.4488,-19.2619,-19.6769,-19.9009,0.2074,0.0192374,59.0733
91_641463,0,0.4396,0.3262,0.5126,-8.297163749,0.959089994,0.17115878,-19.42734089,1.8045,-19.4312,-19.2616,-19.6749,-19.5446,-19.8708,-20.0572,0.135066,0.016988,60.7418
91_641692,0,0.2337,0.2323,0.3735,-8.787186473,0.955917954,0.094401313,-18.59738451,1.1094,-17.91,-17.6594,-17.9831,-17.9114,-18.1437,-18.2849,0.030658,0.014343,40.6297
91_641781,0,0.5219,0.3494,0.5381,-8.493232248,0.963167131,0.05753385,-19.32876554,1.678,-19.1105,-18.9897,-19.4296,-19.283,-19.6324,-19.8211,0.083456,0.0146879,58.8415
91_642511,0,0.436,0.3481,0.5612,-8.18169204,0.869425952,0.164388642,-18.77092487,2.6633,-19.4668,-19.27,-19.6953,-19.5547,-19.9028,-20.1159,0.45201,0.0246274,68.4372
91_642565,0,0.6907,0.4316,0.6707,-8.668745952,0.986907601,0.206495126,-19.31332188,1.595,-18.5854,-18.525,-19.0415,-18.8445,-19.2761,-19.5152,0.224144,0.0242712,56.7397
91_642730,0,0.4649,0.3336,0.5286,-8.374322244,0.979026318,0.092211908,-18.9240947,2.1375,-19.2102,-19.0566,-19.476,-19.3415,-19.6751,-19.8701,0.273473,0.0210128,64.2609
91_643097,0,0.6454,0.4362,0.6841,-8.468744469,0.704363525,0.18517071,-18.91992895,2.4821,-19.1645,-19.0566,-19.5718,-19.3737,-19.8099,-20.0578,0.420137,0.0269087,59.9487
91_643454,0,0.6771,0.4252,0.6533,-8.815360286,0.96475774,0.117698883,-19.04417339,1.3873,-18.1032,-18.0362,-18.5496,-18.3551,-18.7803,-19.0084,0.095364,0.0193898,53.4168
91_643601,0,0.4235,0.3187,0.5074,-8.182329851,0.947618961,0.083359124,-18.47373781,2.9516,-19.5235,-19.3481,-19.7532,-19.6283,-19.947,-20.1357,0.244904,0.019004,60.4002
91_643658,0,0.3456,0.3008,0.4868,-8.263615734,0.955103517,0.058852153,-18.67473136,2.3776,-19.3254,-19.0993,-19.4823,-19.3702,-19.671,-19.857,0.249216,0.0228095,60.2717
91_643738,0,0.4033,0.3124,0.5076,-8.210009827,0.931102216,0.156151635,-18.71100062,2.3961,-19.2962,-19.1116,-19.5065,-19.3871,-19.6995,-19.8947,0.311995,0.0228018,62.2712
91_644076,0,0.3339,0.2752,0.4357,-8.615660185,0.994182289,0.10059234,-18.61157158,1.6773,-18.6645,-18.4567,-18.822,-18.7232,-18.9984,-19.1589,0.077164,0.0150643,47.9579
91_644180,0,0.4158,0.2977,0.4686,-8.618337194,0.981228709,0.046589864,-18.85126169,1.6604,-18.7474,-18.5894,-18.9793,-18.8655,-19.1632,-19.3341,0.076526,0.016376,53.6847
91_644279,0,0.4136,0.3097,0.4881,-8.217908126,0.979647875,0.071894025,-19.43830327,1.7833,-19.4691,-19.2951,-19.6931,-19.573,-19.8827,-20.0611,0.102849,0.0161495,59.2687
91_644528,0,0.3953,0.3336,0.5465,-8.304438929,0.98431164,0.055527547,-18.86104316,2.3572,-19.3333,-19.1151,-19.5262,-19.395,-19.7286,-19.9415,0.359721,0.0246224,63.8372
91_644674,0,0.5794,0.4066,0.6366,-8.583513507,0.919537663,0.237085735,-18.45249392,2.599,-18.9397,-18.8046,-19.2924,-19.1125,-19.5191,-19.7491,0.243202,0.021048,59.8818
91_644860,0,0.5322,0.326,0.5023,-8.582361306,0.953999639,0.033939419,-18.63376507,2.1845,-19.0003,-18.9177,-19.3401,-19.2065,-19.5325,-19.7088,0.140256,0.0179648,54.2582
91_645277,0,0.5154,0.3333,0.5201,-8.761116864,0.935043573,0.041122902,-18.57058301,1.4466,-18.0152,-17.9091,-18.3332,-18.1973,-18.5306,-18.7174,0.05828,0.0169198,42.6175
