SubHaloID,Snapshot,Phase,StellarMass,AbsMag_g,AbsMag_r,AbsMag_i,AbsMag_z,color_gr,color_gi,SFR,BulgeMass,EffectiveRadius,VelocityDispersion,Metallicity,ID,phase_5
747800,91,0,-0.15305985785861215,0.22693993720399494,0.2558413037649862,0.26617891939873944,0.27140981408009845,-0.33519775422008014,-0.33606134890949957,-0.32140230268180126,-0.03771720392400437,-0.5323507380814179,-0.5448403357093897,0.20134573226019495,91_747800,0.0
747825,91,0,-0.15450129498545118,0.32001825335031536,0.3682150248962372,0.38146190297877247,0.38467694442988276,-0.5518635730660225,-0.520265168401203,-0.29766187883955575,-0.03910152601883231,-0.37346646543384066,-0.4943692983195711,-0.06692893743656997,91_747825,0.0
748103,91,0,-0.15396472666977407,0.0019264480512227319,0.09014234474138266,0.12476948061643163,0.14485826720780898,-0.9389341305178278,-0.9324521904925029,-0.24371518555489896,-0.04150416834226335,-0.2930942959322891,-0.5409074354050137,-0.2917608312028681,91_748103,0.0
748334,91,0,-0.15742280215827667,0.1524550167471892,0.2190804586544689,0.24489674443188658,0.26124481520255444,-0.7275385613194895,-0.7271847055432282,-0.29237568202418884,-0.03942864831836201,-0.49631735961274603,-0.4248975250729624,-0.2697288767150032,91_748334,0.0
748388,91,0,-0.1576196869601384,0.34579293060853844,0.38720079070930236,0.40296179840564184,0.41269792017168766,-0.4827647443529923,-0.4921802811244409,-0.31244442755380514,-0.04027663177519038,-0.5761271834719294,-0.49785495544853947,-0.2109130579142722,91_748388,0.0
748677,91,0,-0.15484555721897003,0.12584530674841893,0.20141544176752899,0.227860118435403,0.24069968519608842,-0.8194751385054704,-0.7953318584941947,-0.2532274596694757,-0.04131144329327391,-0.3327180350406967,-0.45945238469669714,-0.0774699305870661,91_748677,0.0
749263,91,0,-0.1511588320831979,0.45323380989226986,0.42181541881486545,0.40170990576053384,0.38591395487529917,0.27907912137287566,0.31443420198608907,-0.32987665296022445,-0.04254642290646996,-0.3140741141283345,-0.5101115481841076,-0.06135700864817969,91_749263,0.0
749366,91,0,-0.15766289859511234,0.5937976545510398,0.591641718232612,0.5872077376966764,0.5861482978440775,-0.049433106661107326,-0.05025631956362851,-0.339384028216961,-0.0414411770234283,-0.47438587956038514,-0.5199225016509801,-0.45318234849538536,91_749366,0.0
749431,91,0,-0.15462749585544164,0.3493000681188362,0.40877302316936676,0.4264756080876895,0.4315219921671391,-0.6754216481376276,-0.6445820959056933,-0.29724766744768283,-0.041893572294482435,-0.39885853405462146,-0.42883042537733806,-0.12608272568840023,91_749431,0.0
749444,91,0,-0.15454565130132022,0.4507287116706283,0.4563199845099163,0.450424858689774,0.44346183211854173,-0.11443285231489006,-0.0737980633103257,-0.3200639570910091,-0.03775811110825858,-0.5788523969695599,-0.41315206739500265,-0.007766014875250918,91_749444,0.0
749485,91,0,-0.15570034631947982,0.2710296659048823,0.3069102622418723,0.3249090134888491,0.3369713676871201,-0.4148370822283185,-0.45459609373936244,-0.2982903947197081,-0.03792479816842699,-0.5953334500266596,-0.5504024790098923,-0.14213170746086257,91_749485,0.0
749840,91,0,-0.15551032959135777,0.24904047040380928,0.3069102622418723,0.32861026130917226,0.34100509740043167,-0.6461424834287165,-0.6458211350502562,-0.2885110589008148,-0.03989151961347133,-0.43363744916724123,-0.551424749125109,-0.2150509001128636,91_749840,0.0
750001,91,0,-0.1501838516806123,0.26763386609332396,0.2911163063336109,0.29361169736112674,0.28910444175582534,-0.28249525774404005,-0.24230738697089751,-0.29796428696150595,-0.0422388181156276,-0.280895721228609,-0.5088230618930529,0.13461046713235808,91_750001,0.0
750108,91,0,-0.1526366127712712,-0.11920896817748157,0.006660006369146823,0.05743942835557227,0.08870874959851306,-1.3248335213812767,-1.3202714427407303,-0.2459820913335842,-0.0369419105566686,-0.5518598061358849,-0.5334782293246361,0.22249165872761098,91_750108,0.0
750166,91,0,-0.15701329321841512,0.45885636367862137,0.5063433500869507,0.5222181803810211,0.5309130923031339,-0.5612329057728741,-0.558262368834469,-0.33347932422569704,-0.03901286844106205,-0.5682543444787741,-0.5968625260170894,-0.1701283660451519,91_750166,0.0
750670,91,0,-0.15914439948930997,0.34451254707303186,0.4131755195897875,0.43883124419376496,0.45443357693874803,-0.7726284749712127,-0.7738551799884357,-0.287816891646066,-0.03870539713504232,-0.50310876467827,-0.5597555406543239,-0.42464676565123516,91_750670,0.0
750887,91,0,-0.15336462866328143,0.14043054528331067,0.20504750131437582,0.22824112924043718,0.24059211907040037,-0.7047008128465388,-0.6900135312063373,-0.2518555281963693,-0.036877685770485114,-0.5508648869224643,-0.5611576125137356,0.16992370761746858,91_750887,0.0
751056,91,0,-0.14846282669002658,0.30287224774441435,0.12195038137892593,0.05439134191530637,0.014972170439180227,1.8882620137746324,1.8343222193167348,-0.3690655388567069,-0.04003793049804905,-0.3077585399909683,-0.526687942066269,-0.15599758926541418,91_751056,0.0
751918,91,0,-0.14072937484688688,0.1597476360146331,0.13466258979289183,0.1167682537107346,0.101455335492578,0.24745762348725184,0.2991527192031449,-0.29635569204252615,-0.0385078395975371,-0.25329752739546063,-0.33488096214970475,0.4026750477108725,91_751918,0.0
751945,91,0,-0.1555269274391365,0.1579105639854297,0.21831002178089504,0.24048790511650348,0.25323113883877535,-0.6619532323715284,-0.6532553699176344,-0.2695470495492324,-0.039788601125535616,-0.5631932336974601,-0.4940995325947221,-0.1155417325379041,91_751945,0.0
752006,91,0,-0.15625294014248806,0.2315047828523186,0.3033332339002786,0.3339444125796357,0.3522995405977041,-0.7925383069732721,-0.8163955239517662,-0.2756744747765226,-0.03876027798364111,-0.585470772606663,-0.5917085808528713,-0.22566496773927294,91_752006,0.0
752017,91,0,-0.15674686916363875,0.2901797500880977,0.36023550013422284,0.3838023979239746,0.3970470488840376,-0.7808266410897077,-0.759399723301867,-0.287606291650654,-0.038720587369922344,-0.5898830230313983,-0.5349690399093273,-0.10453488960346081,91_752017,0.0
752272,91,0,-0.15678578825204076,0.3891589642676199,0.4377744683388922,0.4535818053600472,0.4609951106057346,-0.5647464055379433,-0.5545452514007799,-0.30703747847823304,-0.04180153535411372,-0.4385255305201342,-0.4648299514486188,-0.12215497260805931,91_752272,0.0
752547,91,1,-0.1622278787509741,1.3374221444329564,1.4077544921681908,1.434303617515398,1.4502807685610715,-0.9114117156914515,-0.9609500908174524,-0.3573018671538201,-0.040922043734226206,-0.6286848723548061,-0.7877146772496489,-0.9870617292252327,91_752547,3.0
752785,91,-1,-0.1574668723029527,0.4211128838058894,0.4749205318861955,0.4983777900089458,0.5135949460673171,-0.6238903182499438,-0.6573855003995112,-0.3239431914382542,-0.039934722736674914,-0.4385255305201342,-0.6208858737246843,-0.5256448256729284,91_752785,1.0
752966,91,0,-0.15762226248730618,0.44900297734016426,0.4608325433408472,0.4637058067509298,0.46535153869611223,-0.1806037645570291,-0.1873766515619363,-0.3174435261719513,-0.040310898511938635,-0.581101779539033,-0.6146067215239255,-0.1343858130140507,91_752966,0.0
753012,91,0,-0.15706423143876938,0.33421380993961736,0.32430012310253453,0.31864955026330544,0.31583462398936785,0.06475563570364624,0.06167021649523158,-0.3157496415071284,-0.04174969593185354,-0.4930730578298525,-0.5138385746458355,-0.31891713331415456,91_753012,0.0
753175,91,0,-0.15500552611914994,0.32051927299464444,0.36854521212776803,0.38472770987905486,0.3927444038565059,-0.5501068231834878,-0.5413288338587744,-0.29729538585365917,-0.040637699772021474,-0.3592347949462139,-0.4892366504494202,-0.12203622658470024,91_753175,0.0
753326,91,0,-0.15210176147305976,0.2102949512424211,0.22920620042143752,0.23803854994129023,0.24177534645297089,-0.2268648447971088,-0.24602450440458665,-0.3085361494099482,-0.03544204805459975,-0.5506918574940433,-0.6143192080540207,0.14908834767268422,91_753326,0.0
753501,91,0,-0.15479690835846752,0.5819958584846401,0.5232379301003168,0.49347907965852117,0.47551653757365625,0.5543032696366406,0.5733933831997614,-0.33669328933124215,-0.04158498579880522,-0.4045685051925142,-0.4479234495084186,-0.20723193119013886,91_753501,0.0
