SubHaloID,Snapshot,Phase,StellarMass,AbsMag_g,AbsMag_r,AbsMag_i,AbsMag_z,color_gr,color_gi,EffectiveRadius,VelocityDispersion,Metallicity,SFR,BulgeMass
704792,91,0,8.634686365,-17.3435,-17.7053,-17.9013,-18.0436,0.3618,0.5578,0.4307,39.1766,0.0185298,-1.063267476,7.754527135
704968,91,0,8.186438629,-17.087,-17.4556,-17.6468,-17.7754,0.3686,0.5598,0.568,42.5812,0.0103299,-1.213166325,7.903079206
705318,91,0,8.981760709,-18.5235,-18.814,-18.9862,-19.1157,0.2905,0.4627,1.3292,48.5063,0.0161463,-0.542577271,8.70419992
705333,91,0,9.111678744,-17.7367,-18.1653,-18.4045,-18.585,0.4286,0.6678,1.1209,46.0419,0.0208533,-1.000644615,7.9660185
705403,91,0,8.520603231,-17.4725,-17.7399,-17.8965,-18.0164,0.2674,0.424,0.7986,40.3676,0.0134832,-0.876840925,7.984820451
705560,91,0,8.855415598,-18.1788,-18.4553,-18.6215,-18.749,0.2765,0.4427,1.2773,41.3129,0.0150797,-0.611397787,8.093410781
705685,91,0,8.448410985,-17.3549,-17.6417,-17.8095,-17.9348,0.2868,0.4546,0.7368,42.4373,0.0148032,-0.961560893,7.300042839
705798,91,0,8.839382101,-18.3902,-18.6167,-18.7575,-18.8667,0.2265,0.3673,1.2516,43.687,0.0136479,-0.489265707,7.912883109
705883,91,0,8.996252562,-17.7331,-18.1655,-18.4006,-18.5777,0.4324,0.6675,1.2104,47.7258,0.019903,-0.965715879,8.027530499
705919,91,0,8.948101536,-17.5505,-17.9268,-18.1396,-18.3009,0.3763,0.5891,0.987,46.3901,0.0199851,-0.998987286,8.047515934
706039,91,0,8.716978722,-18.1852,-18.479,-18.6531,-18.7824,0.2938,0.4679,0.9196,45.5889,0.0137982,-0.702691079,8.191967039
706118,91,0,9.145876094,-18.3918,-18.7755,-18.9916,-19.1565,0.3837,0.5998,1.683,46.3626,0.0191022,-0.699950292,8.534810929
706134,91,0,8.339856464,-17.0534,-17.4546,-17.6613,-17.8051,0.4012,0.6079,0.6136,40.777,0.0137033,-1.281889252,7.490806553
706173,91,0,8.859696413,-17.8624,-18.1581,-18.3466,-18.4923,0.2957,0.4842,0.858,44.4612,0.0195479,-0.735323046,8.478711099
706329,91,0,8.817426975,-17.5434,-17.9482,-18.1661,-18.3243,0.4048,0.6227,0.6915,41.1834,0.0185816,-0.920222945,8.379184855
706380,91,0,9.141195566,-18.1943,-18.606,-18.8373,-19.0134,0.4117,0.643,1.5658,47.3229,0.0182459,-0.664069832,8.796165748
706505,91,0,8.784483995,-18.1589,-18.398,-18.5503,-18.6726,0.2391,0.3914,1.1256,45.5714,0.0150938,-0.558971367,7.979425256
706539,91,-1,8.545713517,-17.8021,-18.2026,-18.411,-18.5523,0.4005,0.6089,0.8243,43.6827,0.0111336,-0.988846637,7.591487769
706600,91,0,8.398785463,-16.8549,-17.33,-17.5646,-17.7236,0.4751,0.7097,0.7176,41.1167,0.0129076,-1.618681453,7.356534105
706725,91,0,8.443381954,-17.3138,-17.6545,-17.8432,-17.9781,0.3407,0.5294,0.6818,42.1854,0.0121125,-1.071397973,8.122534221
706854,91,0,8.264324159,-17.174,-17.4891,-17.6665,-17.7921,0.3151,0.4925,0.6004,42.7686,0.0108255,-1.061605082,7.689122189
707063,91,0,8.627233379,-17.1941,-17.654,-17.8888,-18.0572,0.4599,0.6947,0.8453,43.5487,0.0162161,-1.407725998,8.199877937
707177,91,0,9.337115721,-18.1701,-18.6822,-18.9506,-19.151,0.5121,0.7805,1.5838,44.7631,0.0230582,-0.907555255,8.376585476
707282,91,0,8.42522279,-17.8601,-18.1053,-18.2493,-18.3568,0.2452,0.3892,0.7508,42.1237,0.0121429,-0.725148439,7.299762919
707338,91,0,8.227922363,-17.4661,-17.7871,-17.9604,-18.0847,0.321,0.4943,0.6031,41.9748,0.0106813,-0.98254454,7.622697307
707480,91,0,8.462229948,-17.0909,-17.5418,-17.7715,-17.9262,0.4509,0.6806,0.7474,47.3332,0.0120494,-1.406443613,7.308971657
707672,91,0,8.519441601,-18.138,-18.4226,-18.5877,-18.7118,0.2846,0.4497,0.7718,43.4257,0.0133341,-0.675761979,8.159803232
708061,91,0,9.051138275,-17.6353,-18.0641,-18.301,-18.4789,0.4288,0.6657,1.2332,44.1834,0.0206212,-0.986040879,7.943836041
708180,91,0,8.677617189,-17.4797,-17.8346,-18.0317,-18.1776,0.3549,0.552,0.849,44.0055,0.0162729,-1.06941038,8.00873668
708273,91,0,8.931180314,-17.6135,-17.9668,-18.1698,-18.3219,0.3533,0.5563,1.028,42.2465,0.0177135,-0.92703131,8.292615078
708543,91,0,8.594819427,-17.4801,-17.8219,-18.0066,-18.1404,0.3418,0.5265,1.0703,42.2879,0.013693,-1.018216871,8.209426283
708598,91,0,9.057182581,-18.4881,-18.861,-19.0673,-19.2209,0.3729,0.5792,1.3419,45.9955,0.0155823,-0.559838511,8.099651453
708621,91,0,8.661789498,-17.1583,-17.557,-17.769,-17.9215,0.3987,0.6107,0.8291,45.1174,0.0141448,-1.16080365,7.588610721
708721,91,0,8.551514105,-18.0628,-18.3203,-18.4634,-18.5668,0.2575,0.4006,0.4232,39.3251,0.012834,-0.719286257,8.513846255
708961,91,0,8.596202506,-17.4527,-17.763,-17.9429,-18.0776,0.3103,0.4902,0.7357,42.5031,0.016001,-0.92478214,8.145552945
709041,91,0,8.501371014,-17.2119,-17.5434,-17.7228,-17.8516,0.3315,0.5109,0.6808,42.0394,0.0134476,-1.107964332,8.176291571
709096,91,0,8.302789506,-17.8002,-18.0799,-18.2366,-18.349,0.2797,0.4364,0.5514,42.5459,0.010433,-0.718401922,7.960449697
709141,91,0,8.885341852,-17.9221,-18.291,-18.497,-18.6487,0.3689,0.5749,1.2651,47.3525,0.0161683,-0.819221688,8.280707466
709165,91,0,8.652841931,-17.4531,-17.8002,-17.9824,-18.1158,0.3471,0.5293,0.8765,39.5211,0.0164886,-1.079809979,7.880854864
709437,91,0,8.649449268,-17.3421,-17.6639,-17.8479,-17.9834,0.3218,0.5058,0.8879,42.2746,0.0145238,-1.049015166,8.208808744
