SubHaloID,Snapshot,Phase,StellarMass,AbsMag_g,AbsMag_r,AbsMag_i,AbsMag_z,color_gr,color_gi,EffectiveRadius,VelocityDispersion,Metallicity,SFR,BulgeMass
405303,91,0,1.0580535964056101,-0.9205620548558923,-0.8707575302207963,-0.8674915159199229,-0.874330773688876,-0.4177649986992092,-0.24726354354914964,0.14255054747466753,0.8695200623792165,0.9705916058901934,1.328194133560714,0.8937308781765915
405304,91,0,0.30031517346162107,0.4364218173825873,0.2574922399226447,0.18437045654661974,0.13119736924539324,1.850784682947226,1.8388653628467988,-0.26692359488361384,-0.19857118102277527,1.1605213030983939,-1.4855128852465262,0.3803805713420776
406604,91,0,-0.5939037512507356,0.3165667846893876,0.33018846206484836,0.333454541544595,0.3381545950696921,-0.18353168102791984,-0.18159446888730915,-0.4505943331524986,-0.36531479537147177,-0.4988264930127413,-0.2423364648534697,-1.0161255849450717
406605,91,0,-0.5799393442407136,0.8352334542679036,0.7580010517192777,0.7207792399183017,0.6995229943195495,0.720023341889078,0.7274472501737642,-0.5269868258003672,-0.5483366414853917,-0.3614282096767269,-1.1673532421297874,-0.1018052926255533
407767,91,0,0.8273466525180214,-0.7043442439035512,-0.6768275629012431,-0.6771494037483565,-0.6809268797013044,-0.20695501279504877,-0.08742749390051899,0.24173966731700203,0.6370068544025609,0.4658387978284458,0.8671512054156865,0.39264919560142686
407771,91,0,0.06496815365600439,-0.3466718867025233,-0.250335722172941,-0.21122761930780906,-0.19488934077870224,-0.9828528775811941,-0.9692103517812061,-0.38925540077725634,-0.8600935311364056,2.668696277163854,0.6671643528945642,0.4483009992518811
409036,91,0,-0.2645910086498551,0.3576503955243083,0.4026095281807783,0.4139022515215963,0.4169467821363749,-0.5219988250629328,-0.48722412454618896,-0.3568556403054253,-0.550164659226144,-0.16109453396036844,-0.37104417851165805,0.22906486936325043
409038,91,0,0.4921533360128722,-0.6269088744301465,-0.5585104716024237,-0.5350323734709889,-0.5302805206748353,-0.6514127330763201,-0.5913034126894832,-0.4388283320198711,-0.46047110526290286,4.586992612983318,0.8365949340316408,0.06163190115409983
409039,91,0,0.38567935149651256,-0.707851381413849,-0.5721582105057289,-0.5260514044952069,-0.5096816076055253,-1.3576261858552567,-1.2599715377053295,-0.4584671721456538,-0.5879247616069647,4.600931569263783,1.3676503084030385,0.1404135199464245
409041,91,0,0.20536938429864451,-0.5942312598500673,-0.43546069665165077,-0.3848596861729195,-0.3661346128744813,-1.6170395851762096,-1.488367753353114,-0.5066991253180058,-0.7803280657574054,3.760063574929244,0.9356100200732366,0.4295369370889832
409048,91,0,-0.060888662408556574,-0.19953911781811717,-0.08540720002291133,-0.04576006969340752,-0.03284097242927091,-1.1901493637202851,-1.1331765319117133,-0.4649125183543358,-1.0099164453488574,3.311231009560161,0.47964163805169824,0.42202995445416996
410022,91,0,-0.08457701567284426,-0.04288697569147207,0.04221016496404772,0.06734570928643531,0.0782748354067485,-0.9002856331020648,-0.8291989284455842,-0.251610490468356,-0.3617191022231573,-0.17033845516340296,0.38241439978949765,-0.3561860764904866
410023,91,0,0.5069132540409171,-0.2758054414547566,-0.24153072933209763,-0.2501451515361962,-0.27438070766235934,-0.331098671160832,-0.14814041198410746,-0.37173617114963076,-0.2575575864903894,2.673701878763916,0.8515853191636187,0.22534892159134307
411107,91,0,0.7646053820466164,-1.3884030649597718,-1.3323592799019577,-1.3040210382579134,-1.2803928981622266,-0.4271343314060607,-0.40586055405321697,0.32929255809802477,0.6259855047228801,-0.2697562796434709,1.5609906684601258,0.043920238383100954
411111,91,0,0.26822691851288644,0.10413445549419469,0.027681926776658407,-0.008148860225134901,-0.031819094235232485,0.8008338364856731,0.8344176296543723,-0.1644901732583857,-0.2013504778985209,0.06009277031975298,-0.3548368064338339,-0.34215536815746395
411112,91,0,0.1662904055911995,0.021800227276246278,0.01975743321989918,0.012806734051688341,0.0048609546244798305,0.019080138757745085,0.06456130783254534,-0.17889487317443337,-0.31512417235353574,0.2937575413620733,0.03401147655787334,-0.009611237198912886
411114,91,0,0.6596781019482071,-0.8574892485198966,-0.760750150915522,-0.7298377550729429,-0.7191666373834973,-0.9248801314575501,-0.8238297588191446,-0.1999179487275841,-0.1896973084948516,3.764274491603748,1.1379623487611266,0.09113142113926621
411115,91,0,0.3147694615669414,-0.50304568458232,-0.4034875663983421,-0.37266734041185784,-0.3636605919836503,-0.9980780432298281,-0.904367303215741,-0.4357570596653984,-0.6271401790823649,3.6858199074013136,0.9750153150746689,0.06872269110810056
411117,91,0,0.15948280743990598,-0.04500239196752584,0.00847603614257075,0.021025681417403807,0.016693228450194407,-0.5635752389495866,-0.49341932026900415,-0.5540659313482528,-0.8316793913019941,3.36471239161922,-0.09283420808969517,0.2368539427914985
411118,91,0,0.21390773598778726,-0.4971447865491201,-0.3974891650255185,-0.3605294247658027,-0.344836519988197,-0.9998347931123627,-0.9526898298536992,-0.467032128852493,-0.7607523029608059,3.1027495297794685,1.0540019895916428,0.4295369370889832
412217,91,0,0.4848339197759274,-0.761683158754454,-0.6919061131411858,-0.6638140255721962,-0.6445695292186581,-0.6496559831937853,-0.6140191303398054,0.08605643909521299,0.24274779708493532,-0.024098160241877466,0.9704015088584772,0.05450137181210359
412218,91,0,-0.21445827183228044,-0.10718449671360265,-0.05167307120143436,-0.03095507841212069,-0.016813619701712683,-0.577629238009864,-0.5603274340754075,-0.3347078734675381,-0.1621670063642211,-0.3853875034668057,0.30374734190226094,-0.39928735806692023
412219,91,0,-0.0654399724150229,0.4861897687191978,0.3420201711947301,0.29279524563605647,0.26807526418376076,1.4748402080848075,1.3853770359367312,-0.5695088078348264,-0.4842743809318053,0.13400760270607306,-2.0083684298265396,0.36448649567256836
412220,91,0,-0.2585698357350275,0.7252874767625307,0.6071054869093411,0.5573256045590766,0.5298374310462491,1.169165728523775,1.1520246637106946,-0.4537521202211818,-0.5969654629384133,-0.22168240880199727,-1.2608938445359608,0.038710800607648116
412223,91,0,-0.5305026920549363,1.0193303391338642,0.8398874851391126,0.7696574831925558,0.7308785199576917,1.7851993539992652,1.7223956832578742,-0.5120197802419514,-0.7595525553950306,-0.34601862956850626,-0.3238886969214921,-0.19655532117191718
